polygon_id,place_id,is_primary
2,skvr_5880,1
3,skvr_621,1
3,skvr_620,0
4,skvr_592,1
5,skvr_630,1
6,skvr_2520,1
7,skvr_5310,1
8,skvr_2120,1
10,skvr_5010,1
11,skvr_3510,1
11,skvr_3511,0
12,erab_p2,1
13,skvr_5655,1
14,skvr_2540,1
15,skvr_650,1
15,skvr_651,0
16,skvr_4500,1
17,skvr_4180,1
20,skvr_4080,1
21,skvr_5490,1
22,skvr_6365,1
23,skvr_2130,1
25,skvr_4510,1
26,skvr_4520,1
28,erab_p51,1
29,skvr_3760,1
30,skvr_3740,1
31,skvr_2550,1
32,skvr_4530,1
33,skvr_5906,1
34,erab_p52,1
35,erab_p12,1
36,skvr_660,1
37,skvr_2590,1
37,skvr_2600,0
38,skvr_2560,1
39,skvr_3280,1
40,skvr_6315,1
41,skvr_4540,1
43,erab_p14,1
44,erab_p15,1
45,skvr_4190,1
45,skvr_4191,0
46,skvr_10,1
47,erab_p24,1
48,skvr_3750,1
49,erab_p3,1
50,skvr_2570,1
51,skvr_3250,1
52,skvr_2580,1
53,skvr_3260,1
54,skvr_3520,1
56,skvr_5925,1
57,skvr_2010,1
58,skvr_5931,1
59,skvr_4550,1
60,erab_p25,1
61,erab_p23,1
62,skvr_4200,1
63,skvr_581,1
64,skvr_3270,1
66,skvr_5990,1
67,skvr_2970,1
67,skvr_2971,0
68,erab_p13,1
69,skvr_5835,1
70,skvr_2150,1
71,erab_p53,1
72,skvr_100,1
72,skvr_101,0
73,skvr_5935,1
73,skvr_5936,0
74,skvr_4210,1
74,skvr_4211,0
75,erab_p4,1
76,erab_p38,1
77,skvr_5330,1
77,skvr_5331,0
78,skvr_3840,1
79,erab_p50,1
80,skvr_110,1
81,skvr_4680,1
82,skvr_121,1
82,skvr_120,0
83,skvr_5020,1
85,skvr_2610,1
86,erab_p83,1
87,erab_p101,1
88,skvr_680,1
89,skvr_3770,1
90,skvr_3700,1
90,skvr_3701,0
91,skvr_2980,1
92,skvr_3290,1
93,skvr_3300,1
94,skvr_4570,1
95,skvr_690,1
96,skvr_6375,1
97,erab_p56,1
98,skvr_4580,1
99,skvr_130,1
100,skvr_2700,1
101,skvr_3190,1
102,skvr_672,1
104,skvr_2990,1
105,skvr_5060,1
106,skvr_3530,1
107,skvr_140,1
108,skvr_150,1
109,skvr_5462,1
110,skvr_5942,1
111,skvr_700,1
112,skvr_3180,1
112,skvr_3140,0
112,skvr_3181,0
113,skvr_2020,1
114,skvr_6450,1
115,skvr_4610,1
116,skvr_4600,1
117,skvr_3780,1
118,skvr_4620,1
119,skvr_710,1
120,skvr_4562,1
121,erab_p26,1
122,skvr_720,1
123,skvr_3000,1
124,skvr_2440,1
126,skvr_6320,1
127,skvr_5640,1
127,skvr_5510,0
128,skvr_6005,1
129,skvr_5501,1
130,skvr_5030,1
131,skvr_3310,1
132,skvr_4220,1
133,skvr_5040,1
134,skvr_730,1
135,skvr_20,1
136,skvr_4452,1
137,erab_p54,1
138,erab_p66,1
139,skvr_160,1
139,skvr_161,0
140,skvr_6010,1
142,skvr_740,1
143,skvr_4230,1
144,skvr_170,1
145,skvr_721,1
146,skvr_2030,1
147,skvr_750,1
148,skvr_4951,1
148,skvr_4950,0
149,skvr_3010,1
150,skvr_3790,1
151,erab_p35,1
152,skvr_180,1
153,skvr_4240,1
154,skvr_5520,1
155,skvr_760,1
156,skvr_3550,1
157,skvr_570,1
158,skvr_3800,1
159,skvr_3020,1
160,erab_p75,1
161,skvr_2160,1
163,skvr_6020,1
164,skvr_4630,1
165,erab_p84,1
166,skvr_200,1
167,erab_p16,1
168,skvr_5460,1
168,skvr_5461,0
169,skvr_2451,1
171,skvr_3820,1
172,skvr_711,1
173,skvr_5530,1
175,skvr_3030,1
176,skvr_3040,1
177,skvr_4250,1
178,skvr_6030,1
180,skvr_6380,1
181,erab_p76,1
182,skvr_4640,1
183,skvr_2620,1
183,skvr_2780,0
184,skvr_5946,1
185,skvr_4090,1
185,skvr_6311,0
186,erab_p27,1
187,skvr_6438,1
187,skvr_6437,0
187,skvr_6442,0
188,skvr_2630,1
189,skvr_2591,1
190,erab_p62,1
191,skvr_220,1
192,skvr_6160,1
193,skvr_800,1
194,skvr_4421,1
195,erab_p55,1
196,erab_p65,1
198,erab_p102,1
199,erab_p36,1
200,erab_p85,1
201,skvr_30,1
201,skvr_31,0
203,skvr_770,1
204,skvr_5350,1
204,skvr_5351,0
205,skvr_2650,1
206,skvr_5050,1
207,erab_p37,1
208,skvr_780,1
209,skvr_3711,1
210,skvr_3560,1
210,skvr_3561,0
211,skvr_4660,1
213,skvr_2670,1
214,skvr_6390,1
215,skvr_4670,1
216,skvr_3830,1
218,skvr_790,1
219,skvr_191,1
220,erab_p28,1
221,skvr_5360,1
222,skvr_4270,1
223,skvr_4400,1
224,skvr_4960,1
225,skvr_230,1
227,skvr_2200,1
228,skvr_2690,1
229,skvr_2093,1
229,skvr_2091,0
229,skvr_2092,0
230,skvr_3070,1
231,skvr_4750,1
232,erab_p86,1
233,skvr_4690,1
234,skvr_240,1
235,skvr_4430,1
236,skvr_2720,1
237,skvr_2770,1
239,skvr_3570,1
240,skvr_4700,1
241,skvr_3320,1
241,skvr_3321,0
241,skvr_3323,0
242,skvr_250,1
243,skvr_4710,1
245,skvr_6170,1
246,skvr_3890,1
246,skvr_3892,0
247,skvr_3080,1
248,skvr_3850,1
249,skvr_810,1
250,skvr_4720,1
251,skvr_2730,1
252,skvr_3330,1
253,skvr_6326,1
254,skvr_820,1
255,skvr_260,1
256,skvr_3580,1
258,skvr_4730,1
259,skvr_4651,1
261,skvr_270,1
262,erab_p39,1
263,skvr_6395,1
264,skvr_2220,1
265,skvr_5070,1
266,skvr_4290,1
267,erab_p40,1
268,skvr_2050,1
270,skvr_2230,1
271,skvr_4740,1
272,skvr_830,1
273,skvr_280,1
274,skvr_2740,1
275,skvr_2210,1
276,skvr_6530,1
277,erab_p5,1
278,skvr_2750,1
280,skvr_5080,1
281,skvr_3860,1
282,skvr_2760,1
283,skvr_3340,1
284,skvr_840,1
285,skvr_4442,1
286,skvr_3590,1
287,skvr_111,1
288,skvr_3360,1
289,skvr_2260,1
290,skvr_40,1
291,skvr_6190,1
292,erab_p41,1
293,erab_p43,1
294,skvr_6335,1
296,skvr_290,1
297,skvr_300,1
299,skvr_850,1
300,skvr_5090,1
301,skvr_6485,1
303,skvr_310,1
304,skvr_564,1
305,skvr_833,1
306,skvr_3870,1
307,skvr_3880,1
308,skvr_320,1
309,erab_p42,1
310,skvr_6340,1
311,skvr_3350,1
311,skvr_3351,0
312,skvr_4461,1
313,erab_p87,1
315,skvr_6400,1
316,skvr_870,1
317,skvr_4542,1
318,skvr_5100,1
319,erab_p57,1
320,skvr_880,1
321,skvr_6185,1
325,skvr_5560,1
326,erab_p58,1
327,skvr_4451,1
329,skvr_330,1
330,skvr_3521,1
331,skvr_141,1
332,skvr_2250,1
333,skvr_4780,1
335,skvr_2070,1
336,skvr_340,1
336,skvr_341,0
337,skvr_5756,1
338,skvr_900,1
339,skvr_2790,1
341,skvr_4543,1
342,skvr_6235,1
342,skvr_6111,0
343,skvr_3600,1
344,erab_p29,1
345,skvr_5110,1
346,erab_p33,1
347,skvr_4301,1
347,skvr_4300,0
348,skvr_4770,1
349,erab_p44,1
351,skvr_920,1
352,erab_p88,1
353,skvr_360,1
354,skvr_6455,1
355,skvr_4050,1
356,skvr_2270,1
357,skvr_2382,1
358,skvr_2280,1
359,skvr_4420,1
360,skvr_4681,1
363,skvr_4790,1
364,skvr_2800,1
365,skvr_930,1
366,skvr_582,1
368,skvr_4170,1
368,skvr_4171,0
369,erab_p89,1
370,skvr_5120,1
371,skvr_6055,1
372,skvr_5131,1
373,skvr_5140,1
374,skvr_5130,1
375,skvr_4782,1
376,skvr_2290,1
377,skvr_6205,1
378,skvr_6060,1
379,skvr_3200,1
380,skvr_112,1
382,skvr_5150,1
383,skvr_2810,1
384,skvr_370,1
385,erab_p17,1
386,skvr_5958,1
386,skvr_5957,0
387,skvr_5371,1
388,erab_p90,1
389,skvr_4340,1
390,skvr_5480,1
391,skvr_2830,1
392,erab_p69,1
393,skvr_3811,1
394,skvr_940,1
395,skvr_5160,1
396,skvr_4462,1
397,erab_p18,1
398,skvr_5570,1
400,skvr_4800,1
401,skvr_580,1
402,skvr_3370,1
403,skvr_390,1
404,skvr_4810,1
405,skvr_400,1
406,skvr_3051,1
408,skvr_5650,1
409,erab_p59,1
410,skvr_6225,1
411,erab_p45,1
413,skvr_4281,1
413,skvr_4280,0
414,skvr_3381,1
414,skvr_3380,0
415,skvr_3610,1
416,skvr_731,1
417,skvr_3090,1
418,skvr_410,1
419,skvr_5170,1
420,erab_p78,1
421,skvr_911,1
421,skvr_910,0
421,skvr_912,0
422,skvr_6065,1
423,skvr_2080,1
424,erab_p68,1
425,skvr_4443,1
426,erab_p79,1
427,erab_p103,1
428,skvr_4781,1
429,skvr_2300,1
431,erab_p60,1
432,skvr_4320,1
433,skvr_950,1
434,skvr_590,1
436,skvr_551,1
436,skvr_552,0
437,skvr_2042,1
438,skvr_5825,1
439,skvr_2310,1
439,skvr_2311,0
440,skvr_5380,1
441,skvr_430,1
443,skvr_6215,1
444,erab_p77,1
445,skvr_2000,1
446,skvr_600,1
447,skvr_4464,1
448,skvr_5390,1
449,erab_p91,1
450,skvr_2320,1
451,skvr_5180,1
452,skvr_3390,1
453,skvr_960,1
454,skvr_5400,1
456,skvr_2271,1
457,skvr_4470,1
458,skvr_3400,1
460,skvr_5210,1
461,skvr_5190,1
462,skvr_282,1
463,skvr_5200,1
464,skvr_420,1
465,skvr_4330,1
466,skvr_2330,1
467,skvr_2171,1
467,skvr_2170,0
468,skvr_6490,1
469,skvr_4060,1
470,skvr_3100,1
471,skvr_6230,1
472,skvr_5161,1
473,skvr_4360,1
474,skvr_6345,1
475,skvr_3920,1
476,skvr_5811,1
477,skvr_440,1
478,erab_p6,1
479,skvr_2450,1
480,erab_p92,1
481,skvr_3410,1
482,skvr_5220,1
483,skvr_5590,1
484,erab_p30,1
485,erab_p105,1
486,skvr_3900,1
487,skvr_3110,1
488,skvr_970,1
488,skvr_971,0
489,skvr_5021,1
490,skvr_6505,1
491,skvr_3910,1
492,skvr_4350,1
493,skvr_4453,1
494,skvr_5230,1
495,erab_p46,1
496,skvr_2840,1
498,skvr_5153,1
499,erab_p47,1
500,skvr_3562,1
501,erab_p64,1
502,erab_p31,1
503,skvr_5410,1
504,skvr_3420,1
505,erab_p93,1
506,skvr_6410,1
507,erab_p104,1
508,skvr_5596,1
508,skvr_5595,0
509,skvr_6245,1
510,skvr_3430,1
510,skvr_3240,0
512,skvr_4970,1
513,skvr_980,1
